ssn,fico_scr,DailyRate,Department,HourlyRate,MonthlyIncome,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,employee_no,depart_dt,Education,EducationField,Gender,first_name,birth_state,birth_dt,hire_dt,BusinessTravel,DistanceFromHome,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,NumCompaniesWorked,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
237490734,693,1297,Research & Development,53,2379,Yes,14,3,0,4921,,2,LS,Female,DALIYLA,KS,02/20/90,02/20/12,,,,,,,,,,,,,,,
454240491,690,156,Sales,90,2716,No,15,3,0,5054,,3,Life Sciences,Female,AMERIA,TN,08/21/95,08/21/15,,,,,,,,,,,,,,,
513569943,714,234,Sales,68,2269,No,14,3,1,5089,,4,Medical,Male,SALIOU,AL,10/21/84,07/26/14,Travel_Rarely,1,2,2,1,2,Married,0,2,3,2,3,2,2,2
873538692,721,1009,Research & Development,51,17861,No,13,3,0,5462,,3,LS,Male,MYCHAEL,NC,01/17/71,01/17/14,,,,,,,,,,,,,,,
453282424,761,532,Research & Development,92,4556,No,11,3,1,5693,,2,Life Sciences,Female,JANAYAH,,11/13/74,11/13/11,,,,,,,,,,,,,,,
263164432,714,665,Research & Development,60,2340,No,19,3,0,5909,,3,Life Sciences,Male,TAMIM,AL,02/27/88,02/27/11,Travel_Rarely,15,3,3,1,4,Single,1,1,6,1,3,5,1,5
246003859,693,1171,Research & Development,46,2213,Yes,13,3,1,6289,,4,Life Sciences,Female,LOGHAN,AL,10/06/76,08/05/09,Travel_Rarely,10,4,4,1,3,Married,3,3,10,3,3,7,1,7
311784804,691,913,Research & Development,48,8847,Yes,11,3,1,6310,,2,Medical,Male,EZIAH,MT,11/21/80,11/21/13,,,,,,,,,,,,,,,
352191917,698,1395,Research & Development,54,5605,No,11,3,1,6349,,3,Medical,Female,LOYALTY,DC,05/15/77,05/15/97,,,,,,,,,,,,,,,
612936775,703,265,Research & Development,57,2994,Yes,12,3,0,6448,,3,Life Sciences,Female,ATLEIGH,MA,08/17/97,08/17/15,,,,,,,,,,,,,,,
415469216,732,1050,Research & Development,87,16032,No,20,4,1,6516,,4,Medical,Female,JORDAYN,MA,04/01/63,04/01/03,,,,,,,,,,,,,,,
820147797,710,921,Research & Development,38,3833,No,21,4,2,6638,,3,Life Sciences,Male,MALEKAI,AL,02/23/87,02/21/15,Travel_Rarely,1,4,1,1,3,Married,3,3,7,2,3,2,0,2
657073694,755,898,Human Resources,38,16437,Yes,21,4,0,6952,,2,Medical,N/A,DAEDALUS,,03/17/77,03/16/96,,,,,,,,,,,,,,,
427807775,737,1262,Research & Development,35,16885,No,22,4,0,7086,,4,Medical,Male,HYLAND,MD,09/26/68,09/26/11,,,,,,,,,,,,,,,
280218046,711,1398,Human Resources,96,2109,No,18,3,0,7173,,2,Medical,Female,MIWA,MN,05/03/86,05/03/14,,,,,,,,,,,,,,,
146657800,695,336,Sales,52,4385,No,15,3,1,7426,,3,Marketing,Male,DEVRON,MI,03/20/72,03/21/07,,,,,,,,,,,,,,,
972049127,680,1309,Research & Development,83,2904,No,12,3,2,7979,,1,Life Sciences,N/A,AKIL,AL,09/09/93,03/30/13,Travel_Rarely,26,3,3,1,4,,1,3,4,2,2,2,0,2
307038199,772,355,Research & Development,38,2936,No,22,4,2,8108,,4,Technical Degree,Male,DILAND,KY,07/24/74,07/24/10,,,,,,,,,,,,,,,
661111327,698,350,Research & Development,57,2296,No,14,3,3,8154,,2,Technical Degree,Male,RODDY,DC,08/02/92,08/02/15,,,,,,,,,,,,,,,
118513921,737,168,Sales,33,18789,No,14,3,1,8563,,2,Marketing,Female,DEZTINY,AL,08/12/70,12/25/05,Travel_Rarely,4,4,2,5,2,Married,2,3,26,2,3,4,0,8
848636245,677,1085,Research & Development,57,2778,Yes,13,3,1,8619,,4,Life Sciences,Female,NAMIYAH,NV,08/18/75,08/18/09,,,,,,,,,,,,,,,
988313068,759,1120,Sales,100,6652,No,13,3,1,8780,,4,Marketing,Female,ZIYLA,ID,01/29/81,01/29/11,,,,,,,,,,,,,,,
421184627,774,559,Research & D,82,5257,No,11,3,1,9017,,4,Life Sciences,Female,ALENNA,TN,02/07/74,02/07/08,,,,,,,,,,,,,,,
294434105,711,855,Research & Development,57,2766,No,22,4,3,9348,,3,Medical,Male,AAVI,CT,09/07/74,09/07/11,,,,,,,,,,,,,,,
476956241,696,446,Research & D,65,6447,No,12,3,1,10130,,4,Life Sciences,Female,JENASIS,MN,07/13/79,07/13/10,,,,,,,,,,,,,,,
224355676,717,555,Research & Development,78,3448,No,22,4,1,10373,,3,Medical,Female,IZZABELLE,AL,03/19/77,07/30/15,Travel_Rarely,2,2,2,2,3,Married,6,2,20,3,3,0,0,0
770825505,688,1162,Research & Development,97,2587,No,16,3,0,10537,,2,Life Sciences,Male,IZELL,ID,10/11/60,10/11/12,,,,,,,,,,,,,,,
145623662,750,217,Sales,43,5487,No,14,3,0,10715,,4,Marketing,Male,KAMAAL,,,12/12/06,,,,,,,,,,,,,,,
788267427,680,1146,Sales,82,4539,No,12,3,1,11051,,3,Medical,Female,MAJORIE,NC,03/18/84,03/19/07,,,,,,,,,,,,,,,
810843628,752,1315,Research & Development,71,11996,No,18,3,1,11130,,3,Life Sciences,Female,REEVA,AL,12/25/81,10/21/09,Travel_Rarely,22,2,4,3,2,Divorced,7,2,10,6,2,7,6,2
601111506,754,218,Sales,100,6929,No,11,3,1,11152,,3,Technical Degree,Male,CONALL,DE,02/10/86,02/10/09,,,,,,,,,,,,,,,
237313783,731,629,Research & Development,95,2311,No,15,3,0,11189,,2,Medical,Female,MARGUERITE,NM,12/31/82,12/31/13,,,,,,,,,,,,,,,
381166930,690,546,Research & Development,97,3117,No,18,3,0,11290,,1,Medical,Male,KUYPER,SD,10/11/95,10/11/14,,,,,,,,,,,,,,,
668720107,706,1017,Research & Development,82,6646,No,13,3,0,11381,,4,LS,Male,CALLOWAY,AL,02/21/82,09/09/99,Travel_Rarely,6,2,1,2,4,Single,1,2,17,3,3,11,11,8
677031476,790,666,Research & Development,88,11849,Yes,12,3,1,11513,10/10/17,4,Life Sciences,Male,GIANMARCO,AL,03/30/70,10/10/07,Non-Travel,29,1,3,3,2,Married,1,4,10,2,2,7,9,9
853377862,738,678,Research & Development,35,2929,No,12,3,0,11751,,3,Life Sciences,Female,MAXENE,UT,01/03/83,01/03/07,,,,,,,,,,,,,,,
297338237,739,713,Research & Development,67,4257,Yes,18,3,1,11949,,3,LS,Female,KALYNN,AL,09/10/60,04/09/15,Travel_Rarely,8,3,3,1,1,Divorced,4,3,19,3,3,2,2,2
919303170,759,528,Human Resources,100,4323,No,17,3,0,12031,,4,Technical Degree,Male,EDGARD,AL,03/06/82,06/29/11,Travel_Rarely,8,3,3,1,3,Single,1,2,6,2,1,4,1,4
123265108,697,943,Research & Development,86,8500,No,11,3,1,12123,,3,Life Sciences,Male,IKTAN,AL,08/06/82,02/13/08,Travel_Rarely,9,4,3,3,4,Divorced,0,4,10,0,2,7,1,6
882381425,766,1462,Sales,38,8237,No,11,3,1,12135,,3,Medical,Male,ARBOR,NE,04/02/78,04/02/10,,,,,,,,,,,,,,,
537751159,677,1469,Research & Development,81,12490,No,16,3,2,12425,,4,Life Sciences,Male,BRENNON,ME,05/09/66,05/09/07,,,,,,,,,,,,,,,
599084101,762,1055,Research & Development,76,19701,Yes,21,4,1,12571,,3,Medical,Female,KIORA,,,05/29/08,,,,,,,,,,,,,,,
364578526,724,1422,Sales,92,5675,No,20,4,1,12639,,4,Life Sciences,Male,RAAHI,AL,11/15/73,08/06/09,Travel_Frequently,2,1,3,2,4,Married,1,3,7,5,3,7,7,7
535173054,731,192,Research & Development,69,2654,No,21,4,2,12756,,2,LS,Male,MACOY,VT,09/18/71,09/18/14,,,,,,,,,,,,,,,
428417315,704,894,Research & Development,99,2279,No,16,3,0,13166,,3,Medical,Female,AARALYN,ME,04/04/90,04/04/10,,,,,,,,,,,,,,,
514938605,723,1450,Research & Development,79,2566,Yes,15,3,1,13273,,3,Medical,N/A,VITO,CT,05/07/90,05/06/16,,,,,,,,,,,,,,,
533493364,711,588,Sales,65,5228,Yes,11,3,0,14905,,2,Technical Degree,Female,JETTA,KY,09/25/84,09/25/03,,,,,,,,,,,,,,,
492585351,721,705,Sales,83,18947,No,12,3,0,15042,,4,Marketing,Female,ADA,AL,08/05/70,10/22/14,Travel_Rarely,2,2,3,5,1,Single,3,4,22,2,2,2,2,1
827065848,723,879,Research & Development,72,4695,Yes,18,3,0,15049,,2,Medical,Female,KYONNA,AL,06/19/86,10/06/08,Non-Travel,9,3,3,2,3,Single,7,3,10,3,3,4,1,7
860281038,719,,Research & Development,49,,No,14,3,0,15651,,3,Medical,Male,CLIFF,RI,01/11/73,01/11/12,,,,,,,,,,,,,,,
445237643,800,1323,Research & Development,34,2461,Yes,12,3,3,15843,10/13/16,4,Life Sciences,Male,KLARK,,,10/13/06,Travel_Rarely,4,1,3,1,3,Married,9,3,18,2,4,0,2,7
640747050,756,1396,Research & Development,62,5914,No,16,3,0,16071,,2,Life Sciences,Male,TRAYVON,ID,10/21/80,10/21/03,,,,,,,,,,,,,,,
156265810,760,1052,Sales,57,8865,No,12,3,0,16304,,3,Medical,N/A,CATE,UT,04/24/72,04/25/98,,,,,,,,,,,,,,,
806022341,713,1372,Sales,93,6232,No,11,3,0,16541,,1,LS,Male,SAURAV,,,10/27/13,,,,,,,,,,,,,,,
946015478,735,783,Research & Development,78,4284,Yes,22,4,1,16553,,4,Medical,Male,HASTON,VT,02/19/80,02/19/12,,,,,,,,,,,,,,,
760834491,681,586,Sales,48,4037,No,22,4,1,16672,,3,Medical,Male,ZAEVION,UT,03/20/84,03/20/08,,,,,,,,,,,,,,,
911807100,754,1146,Sales,38,5326,No,17,3,0,16908,,3,Technical Degree,Male,HAYTHAM,KY,12/27/90,12/27/12,,,,,,,,,,,,,,,
549057456,769,1316,Research & Development,38,4998,Yes,14,3,0,17279,,2,LS,Female,MATTISYN,AL,01/12/85,08/25/08,Travel_Frequently,2,4,3,2,3,Single,4,4,10,2,3,7,0,7
678588921,749,1005,Research & Development,79,3068,No,13,3,0,17362,,2,Life Sciences,Male,LINCOLN,DE,11/29/84,11/29/09,,,,,,,,,,,,,,,
463350190,766,1280,Research & Development,64,2889,No,11,3,2,17471,,1,Medical,Male,BECK,MA,06/01/91,06/01/14,,,,,,,,,,,,,,,
671649236,725,750,Research & Development,47,4448,No,12,3,1,17723,,3,Life Sciences,Female,SAMANDA,AL,01/13/77,10/11/09,Travel_Rarely,12,2,3,2,1,Divorced,2,2,15,3,3,4,7,7
635540365,739,160,Research & Development,71,2083,No,20,4,1,18020,,3,Medical,N/A,KASYN,NY,09/03/86,09/03/15,,,,,,,,,,,,,,,
645747492,715,1361,Sales,94,8966,Yes,15,3,3,18287,,4,Life Sciences,Male,LEITH,AL,11/25/81,02/23/10,Travel_Rarely,17,3,3,2,1,Married,3,4,15,2,3,7,1,7
697240937,739,483,Research & Development,95,6032,Yes,15,3,0,18662,,3,Medical,Male,GARREN,,03/20/76,03/20/12,,,,,,,,,,,,,,,
727331361,735,921,Research & Development,66,2007,No,13,3,2,18959,,1,Medical,Female,BRIGGS,KY,05/30/91,05/29/12,,,,,,,,,,,,,,,
680147551,736,392,Sales,93,5505,No,14,3,2,19033,,4,Medical,N/A,JIVAN,AL,10/22/83,11/25/10,Travel_Rarely,2,4,3,2,4,,1,3,6,5,3,2,0,4
873588917,742,1157,Research & Development,57,3986,No,14,3,1,19159,,2,Medical,Male,EZAEL,CA,05/09/83,05/09/02,,,,,,,,,,,,,,,
542679467,745,967,Sales,43,8998,No,14,3,0,19189,,3,Mkt,Female,DREAM,,,12/26/07,,,,,,,,,,,,,,,
624759543,733,1033,Research & Development,41,4200,No,22,4,0,19410,02/19/15,3,Medical,Female,CARMELA,AL,08/25/84,02/18/10,Travel_Rarely,9,1,3,1,1,Single,7,1,10,2,4,4,0,4
556203308,740,852,Research & Development,82,3419,Yes,14,3,1,19498,,4,LS,Female,KAIA,AL,07/30/80,11/15/15,Travel_Rarely,5,2,2,1,1,Married,9,4,6,3,4,1,0,0
845539314,761,458,Research & Development,60,13191,Yes,17,3,0,19635,,5,Medical,Female,RIANN,AL,10/11/74,09/10/15,Travel_Frequently,26,1,3,3,1,Married,3,3,20,6,3,0,0,0
149272538,724,501,Sales,58,2380,Yes,11,3,0,19816,,1,Medical,Male,SHAKIL,NY,10/06/95,10/06/14,,,,,,,,,,,,,,,
763121246,733,1313,Research & Development,31,19049,Yes,14,3,1,19961,,3,Medical,Female,IDMAN,AL,05/19/73,03/19/95,Travel_Rarely,7,2,3,5,4,Divorced,0,4,23,4,2,7,1,10
565849677,726,489,Research & Development,67,2042,No,12,3,1,20212,,3,Medical,Male,STONE,AZ,08/18/72,08/18/13,,,,,,,,,,,,,,,
341126760,722,746,Sales,45,1091,No,17,3,0,20303,08/28/15,3,Technical Degree,Male,JYQUAN,AL,04/08/88,08/27/14,Travel_Frequently,24,3,4,1,1,Single,1,4,1,3,3,0,0,0
986379009,758,1037,Research & Development,42,2436,Yes,12,3,0,20411,,3,Medical,Male,SIMAR,MN,12/15/72,12/15/12,,,,,,,,,,,,,,,
789707132,680,1002,Research & Development,92,6804,Yes,15,3,2,20598,,4,LS,Male,OZIEL,AL,10/11/67,10/11/09,Non-Travel,18,4,3,2,4,Divorced,1,1,7,0,3,7,1,7
241353037,749,662,Sales,94,7295,No,13,3,2,20824,,5,Mkt,Male,DEVYN,DC,09/16/81,09/16/06,,,,,,,,,,,,,,,
297104828,727,1003,Sales,51,8346,No,19,3,1,20873,,3,Technical Degree,Male,SHEPHARD,PA,06/20/85,06/20/11,,,,,,,,,,,,,,,
636895386,702,810,Sales,57,4851,No,22,4,1,21094,,3,Life Sciences,Male,TORBEN,AK,10/31/91,08/23/13,Travel_Rarely,8,4,4,2,2,Married,0,3,4,4,3,2,1,2
727219226,774,559,Research & Development,76,4663,Yes,12,3,2,21502,,4,LS,Female,PENELLOPE,DC,12/23/80,12/23/13,,,,,,,,,,,,,,,
387618865,788,626,Research & Development,98,5381,Yes,13,3,0,21550,12/27/15,2,LS,Male,OAKLEY,AK,06/08/68,12/26/14,Travel_Rarely,1,1,2,3,3,Single,9,4,23,2,3,0,0,0
138185890,752,515,Research & Development,62,3730,Yes,14,3,0,21772,,3,Life Sciences,Male,OZIAS,NC,11/26/84,11/26/13,,,,,,,,,,,,,,,
911108425,690,1262,Research & Development,35,16885,No,22,4,0,22022,,4,Medical,Male,HYLAND,MD,10/15/68,10/15/11,,,,,,,,,,,,,,,
859523175,697,498,Research & Development,93,6725,No,12,3,1,22065,,4,Medical,Female,DELAYNIE,NJ,06/18/84,06/18/08,,,,,,,,,,,,,,,
851273614,735,625,Sales,46,10609,No,11,3,0,22261,,4,Life Sciences,Male,KEMAR,MS,11/30/79,11/30/02,,,,,,,,,,,,,,,
193211165,745,638,Sales,33,1790,No,19,3,1,22469,,3,Marketing,Male,SHIVRAJ,TN,07/03/93,07/03/15,,,,,,,,,,,,,,,
437736437,707,1169,Human Resources,63,4936,No,13,3,1,22572,,2,Medical,Male,AVISHAI,AK,07/21/88,01/13/12,Travel_Rarely,8,2,2,1,4,Divorced,1,4,6,6,3,1,0,4
255409232,679,1272,Research & Development,37,10552,Yes,13,3,1,22637,,3,Technical Degree,Female,ARYELLA,,,09/23/10,,,,,,,,,,,,,,,
485904188,766,920,Human Resources,69,2148,Yes,11,3,0,23279,,2,Medical,Female,BRYSSA,VT,12/16/90,12/16/11,,,,,,,,,,,,,,,
509595484,760,1142,Research & Development,30,4014,Yes,15,3,1,23466,,4,Medical,Female,JASMIN,MN,02/14/82,02/14/15,,,,,,,,,,,,,,,
847762653,759,885,Research & Development,43,2743,No,16,3,0,23525,,4,Life Sciences,Female,MILY,,01/16/81,01/16/00,,,,,,,,,,,,,,,
886721438,685,541,Sales,62,2322,No,13,3,1,23751,,1,Technical Degree,Male,RAYYAN,HI,09/02/93,09/02/16,,,,,,,,,,,,,,,
605502833,712,373,Research & Development,47,1223,No,22,4,1,23884,,2,LS,Male,AQEEL,OR,07/12/93,07/12/15,,,,,,,,,,,,,,,
140409570,692,1271,Research & Development,35,2515,Yes,14,3,0,23974,,1,Medical,N/A,CHIP,AK,01/31/75,01/31/15,,,,,,,,,,,,,,,
518602290,718,1181,Research & Development,79,1483,No,14,3,0,24701,,1,Medical,Female,AOIFE,MT,11/08/97,11/08/15,,,,,,,,,,,,,,,
361977693,720,664,Research & Development,79,2194,No,13,3,1,25051,,3,Medical,Male,NICKOLAS,OH,05/07/82,05/07/14,,,,,,,,,,,,,,,
296962024,758,549,Research & Development,75,3697,No,14,3,2,25322,,4,Other,N/A,CAMERYN,PA,07/08/71,07/08/06,,,,,,,,,,,,,,,
739593078,763,507,Research & Development,97,2272,No,14,3,0,25726,,1,Life Sciences,Male,LAKHI,IN,07/17/93,07/17/12,,,,,,,,,,,,,,,
808825986,731,1194,Research & Development,52,6513,No,17,3,1,26173,,3,Life Sciences,Female,RETAGE,FL,10/24/76,10/24/11,,,,,,,,,,,,,,,
627600167,679,429,Research & Development,99,2342,Yes,12,3,3,26273,,2,Medical,Male,AZERIAH,HI,02/16/73,02/16/12,,,,,,,,,,,,,,,
559367735,721,722,Sales,60,12031,No,11,3,1,26640,,1,Mkt,Female,AZYLA,MI,01/14/78,01/14/97,,,,,,,,,,,,,,,
417195330,704,1214,Research & Development,30,2859,No,18,3,0,26824,,3,Medical,Male,MARQUIS,AK,03/30/82,08/12/10,Travel_Rarely,1,2,2,1,3,Single,1,1,6,3,3,4,0,4
462385658,697,1210,Research & Development,68,4841,No,14,3,1,27512,,3,Medical,Male,MOHANAD,AK,07/26/74,08/18/15,Travel_Rarely,2,3,2,1,2,Married,4,2,4,3,3,0,0,0
945435545,746,1383,Human Resources,42,5204,No,11,3,2,27764,,3,Life Sciences,Female,OHEMAA,MN,09/28/77,09/28/11,,,,,,,,,,,,,,,
405250817,754,1312,Research & D,78,4968,No,16,3,0,28114,,4,Technical Degree,Female,ZAMYIA,AK,10/11/86,01/17/08,Travel_Frequently,2,4,2,1,1,Single,0,4,10,2,3,7,0,7
423636836,734,796,Sales,81,10447,Yes,13,3,1,28186,,1,Mkt,Female,MYLAYAH,,10/08/75,10/08/94,,,,,,,,,,,,,,,
117656421,709,334,Sales,52,6696,No,15,3,0,28438,12/23/17,4,Marketing,Female,DANYA,AK,06/10/86,12/23/11,Travel_Frequently,26,3,2,2,1,Single,5,3,9,5,2,3,0,1
587592414,726,583,Sales,87,4256,No,12,3,0,28577,,1,Mkt,Male,JOSECARLOS,,,10/27/11,,,,,,,,,,,,,,,
746324800,710,930,Research & Development,73,4081,Yes,14,3,0,28838,,3,Medical,Female,GENOVEVA,TX,11/20/73,11/20/96,,,,,,,,,,,,,,,
855811038,715,379,Sales,48,6524,No,14,3,1,29037,,2,Life Sciences,Male,MASSIMILIANO,AK,06/19/84,03/30/07,Travel_Frequently,5,2,3,2,2,Married,1,4,10,3,3,8,5,3
219429243,769,809,Research & Development,36,15379,No,14,3,0,29219,,3,Life Sciences,Male,JONY,AK,01/17/68,07/21/08,Travel_Rarely,1,3,3,4,3,Single,4,1,23,2,3,7,0,0
481900022,709,441,Research & Development,39,9715,No,13,3,1,29648,,1,Other,Female,RAFIA,AK,11/24/87,09/22/09,Travel_Rarely,8,3,1,2,1,Married,3,3,9,3,3,7,0,7
986301166,711,441,Research & Development,72,4963,Yes,18,3,3,29737,,4,LS,Female,AMYAH,IL,08/26/60,08/26/11,,,,,,,,,,,,,,,
670293942,676,1276,Research & Development,72,7632,Yes,12,3,0,30250,,3,LS,Male,JURGEN,IA,02/03/82,02/03/09,,,,,,,,,,,,,,,
918032659,729,812,Sales,69,1200,No,12,3,0,30457,,3,Medical,Female,KAMARA,AK,04/13/99,03/15/17,Travel_Rarely,10,4,2,1,3,Single,1,1,0,2,3,0,0,0
507311220,747,319,Research & Development,39,7969,Yes,14,3,0,30574,,3,Medical,Male,CHESTON,AK,08/18/64,05/18/12,Travel_Rarely,3,4,2,3,3,Married,2,3,28,4,3,4,0,4
669483596,759,508,Sales,46,4682,No,14,3,0,30880,,3,Mkt,Male,JESSY,SC,03/27/84,03/28/10,,,,,,,,,,,,,,,
381245380,788,1372,Sales,85,5346,No,13,3,0,31234,08/20/16,3,Marketing,Female,DAISEE,AK,12/19/73,08/20/12,Travel_Rarely,9,1,1,2,3,Single,8,2,7,2,2,3,1,3
797820601,688,821,Research & Development,86,19406,No,11,3,1,31237,,2,Medical,Male,JAXSIN,MS,10/07/62,10/07/12,,,,,,,,,,,,,,,
593045935,717,1469,Research & D,82,3816,No,11,3,1,31250,,2,Medical,Male,NADAV,NC,07/22/89,07/22/11,,,,,,,,,,,,,,,
954049040,774,977,Research & Development,45,5470,No,13,3,2,31780,,3,Medical,Male,JOHNELL,MT,04/30/85,04/29/08,,,,,,,,,,,,,,,
146523463,738,1210,Sales,78,6644,No,19,3,2,31941,,3,Medical,Male,HERSHEL,AK,05/25/88,06/19/16,Travel_Rarely,2,1,2,2,2,Married,2,2,10,2,3,0,0,0
727198811,766,1146,Human Resources,31,8837,Yes,16,3,0,31966,,4,Life Sciences,Female,VICTORIAH,AZ,10/24/81,10/24/07,,,,,,,,,,,,,,,
147655184,720,1144,Sales,74,1052,No,22,4,0,32012,,1,Medical,Male,GILEAD,NJ,01/22/89,01/22/16,,,,,,,,,,,,,,,
226661084,738,1339,Research & Development,59,9724,No,17,3,1,32305,,3,Life Sciences,Male,BRECKEN,,01/23/72,01/23/16,,,,,,,,,,,,,,,
873986272,706,1410,Sales,71,4647,Yes,20,4,2,32781,,1,Medical,Female,EEVA,CT,07/13/89,07/13/10,,,,,,,,,,,,,,,
548473391,753,1398,Sales,79,18041,No,14,3,0,32861,,4,Life Sciences,Female,ADYA,AK,11/25/76,12/20/96,Travel_Rarely,2,3,3,5,3,Married,0,4,21,2,3,15,1,12
898093272,730,201,Research & Development,84,3204,No,14,3,1,33015,,3,Technical Degree,Female,CRISTAL,PA,03/24/87,03/24/14,,,,,,,,,,,,,,,
754076926,770,559,Research & Development,76,4663,Yes,12,3,2,33079,,4,LS,Female,PENELLOPE,DC,11/23/80,11/23/13,,,,,,,,,,,,,,,
719039716,680,1271,Research & Development,35,2515,Yes,14,3,0,33163,,1,Medical,N/A,CHIP,AK,02/27/75,06/08/14,Travel_Frequently,2,2,3,1,4,,5,4,8,2,3,1,2,2
407882348,745,813,Research & Development,58,2436,Yes,13,3,1,33863,,3,Medical,Male,TRAE,MA,11/03/83,11/03/11,,,,,,,,,,,,,,,
786330761,680,1372,Sales,85,5346,No,13,3,0,33895,,3,Marketing,Female,DAISEE,AK,10/04/73,10/04/12,,,,,,,,,,,,,,,
758900269,689,718,Research & Development,92,19943,No,13,3,1,33908,,4,Tech,N/A,ELYCE,AK,09/16/60,07/26/11,Travel_Rarely,4,4,3,5,1,,4,4,28,2,3,2,4,2
591400223,761,1144,Research & Development,30,5258,No,14,3,0,34080,,4,Medical,Female,ANIJAH,NC,07/05/70,07/05/15,,,,,,,,,,,,,,,
140996882,725,809,Sales,77,9208,No,11,3,0,34138,,3,Marketing,Female,KIRSTEN,AK,08/19/66,03/06/15,Travel_Frequently,12,3,3,3,4,Single,4,4,16,3,3,2,2,1
380089822,764,529,Research & Development,78,2439,No,14,3,0,34577,,3,Technical Degree,N/A,TRAVONNE,NM,07/17/84,07/17/12,,,,,,,,,,,,,,,
293882935,748,1370,Research & Development,87,4723,Yes,18,3,0,34664,,1,Medical,Male,ARAZ,ID,02/15/88,02/15/07,,,,,,,,,,,,,,,
104422767,744,895,Sales,56,2086,No,14,3,1,35065,,3,Technical Degree,N/A,MASON,IA,05/20/78,05/19/16,,,,,,,,,,,,,,,
805885034,709,1395,Research & Development,48,5098,No,19,3,0,35113,,4,Medical,Male,RODRICUS,,02/24/82,02/24/07,,,,,,,,,,,,,,,
287338691,752,575,Research & Development,73,3102,No,22,4,0,35289,,1,Tech,Male,ARHAAN,,05/23/91,05/23/11,,,,,,,,,,,,,,,
530756126,748,1319,Sales,45,13225,No,12,3,1,35291,,3,Tech,Female,SRI,MA,01/18/71,01/18/98,,,,,,,,,,,,,,,
697669078,730,256,Sales,40,6151,No,13,3,0,35293,,2,Medical,Male,EPHRIAM,IA,10/24/75,10/24/97,,,,,,,,,,,,,,,
549067564,679,1189,Sales,87,7428,No,12,3,0,35543,,3,LS,Male,BASTIAN,NV,06/26/79,06/26/11,,,,,,,,,,,,,,,
779588306,706,267,Sales,85,13695,Yes,17,3,0,35685,,4,Marketing,Male,KAY,ID,04/28/62,04/28/98,,,,,,,,,,,,,,,
976109700,696,1211,Sales,98,5772,Yes,21,4,0,35862,,4,Marketing,Male,RAIDEN,FL,08/25/70,08/25/07,,,,,,,,,,,,,,,
